workflow,level,sample,has_script,executed,loc,parses,api_coverage,api_used,reusable,has_hs_bounds,has_validation,uses_experimental_data,hardcoded_numbers_flag,rubric_physics_pass,rubric_pushback,rubric_notes,E_vf0_ok,rho_vf04_ok,E_vf04_in_range,physics_pass,physics_pass_auto,meta_iterations,meta_notes,meta_pushback,E_ok,rho_ok,vf_ok,rel_diff,homog_check,pushback,produced_number_anyway
W1_modulus_vf,L1_sketch,s0,1,1,136,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,reference_curve",1,1,1,1,0,1,0,"E0=3000, rho(0.4)=0.892, E(0.4)=3958; MT/DS inside HS; correctly flagged thin experimental data",1.0,1.0,0.0,1,0.0,2,"Analytical sweep of epoxy/K46 compressive modulus over vf 0-0.60 (HP-MT, HP-DS, HS bounds) with vf=0-recovers-matrix and inside-HS-bounds self-checks, plus a FoamGPT experimental comparison. Second run added an honest split of the experimental subsets after the first run showed every K46-labelled record is a layered multi-grade FGM panel, not a monolithic epoxy+K46 foam.",False,,,,,,,
W1_modulus_vf,L2_goal,s0,1,1,169,1,1.5,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,reference_curve,HollowParticle",0,1,1,1,0,1,0,same physics; exp comparison honest (0/13 in band),1.0,1.0,0.0,1,0.0,2,"Swept vf 0-0.6 for epoxy/K46 with hollow-particle Mori-Tanaka, differential scheme, HS bounds and density; self-checked vf=0 -> matrix and both estimates inside the HS band at every vf. Second run added an honest experimental comparison: the bundled FoamGPT snapshot has no monolithic epoxy/K46 modulus series, so the raw MAPE (341%) is reported alongside the reason it is not a validation.",True,,,,,,,
W1_modulus_vf,L3_recipe,s0,1,1,259,1,1.75,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,homogenize,reference_curve,HollowParticle",0,1,1,1,1,1,1,26/26 self-checks; re-predicted each exp record with its own particle density; noted data below HS lower bound,0.0,0.0,0.0,1,0.0,2,"HP-MT + HP-DS + HS bounds sweep for epoxy/K46 (vf 0-0.6) with all requested self-checks passing (E(0)=3000 MPa, rho(0.4)=0.892, estimates inside HS, eta=0 solid-sphere limit). Second iteration added a grade-matched experimental comparison after finding the bundled epoxy/GMB records are not K46 and lie below the HS lower bound.",True,,,,,,,
W1_modulus_vf,L4_spec,s0,1,1,368,1,1.5,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,reference_curve,HollowParticle",1,1,1,1,0,1,0,results.json/csv/png; all checks PASS; exp below HS lower bound reported,1.0,1.0,0.0,1,0.0,3,"HP-MT + HP-DS + HS bounds sweep for epoxy/K46, vf 0..0.6; all three self-checks pass (E(0)=3000 MPa, rho(0.4)=0.892, estimates inside HS). Reran twice to make the experimental comparison honest: FoamGPT epoxy/glass rows are mostly thin-walled S22/S32/S38 graded foams, so each row is now predicted with the particle implied by its own reported/back-calculated true density, and the below-HS-lower-bound measurements are flagged as evidence of a third compliant phase rather than tuned away.",False,,,,,,,
W1_modulus_vf,L5_contract,s0,1,1,431,1,1.5,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,reference_curve,HollowParticle",1,1,1,1,0,1,0,CLI+compute/validate; 7/7 checks; 4 iterations; noted MT==HS lower bound identity,1.0,1.0,0.0,1,0.0,4,"benchmark_run.py sweeps vf 0-0.6 for epoxy/K46 with HP-MT (primary), HP-DS (spread) and HS bounds; all three self-checks pass (E(0)=3000 MPa, rho(0.4)=0.892 g/cm3, estimates inside HS bounds). Task premise accepted; the only correction was to the experimental comparison, where the bundled dataset has no epoxy/K46 quasi-static compression modulus row, so a grade-matched comparison was added alongside the nominal one.",False,,,,,,,
W2_inverse_design,L1_sketch,s0,1,1,157,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",1,1,1,0,0,1,0,"eta=0.958, vf=0.597, rho=0.657, E=3500; grades: S38 at 0.309",,,,1,,2,"Grid sweep over (eta, vf) with bisection refinement on vf, minimising HP-MT density subject to E >= 3500 MPa; sanity checks (vf=0 -> matrix, HP-MT inside HS band, HS ceiling for feasibility) plus HP-DS cross-check and a table of the nearest commercial 3M grades. Ran clean on the first execution; the second run only added the vf>0.55 polydisperse-packing note and the practical-grade caveat.",False,,,,,,,
W2_inverse_design,L2_goal,s0,1,1,252,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",0,1,1,0,0,1,0,"eta=0.958, vf=0.60, rho=0.656, E=3515; S32 nearest grade",,,,1,0.0,2,"Grid search over eta in [0.80,0.97] x vf in [0,0.60] with HP-MT (HP-DS cross-check, HS bounds on every point). Second run only refined the eta step from 0.005 to 0.001 so the continuous optimum was not coarser than the catalogue-grade optimum; no errors in either run.",False,0.0,0.0,1.0,,,,
W2_inverse_design,L3_recipe,s0,1,0,306,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",1,1,1,0,0,1,0,same optimum; 5 self-checks; noted boundary optimum and thin margin,,,,1,,1,"Inverse design over (eta, vf) with HP-MT, cross-checked against HP-DS and HS bounds; self-checks (E(vf=0)=3000 MPa, eta->0 solid-sphere MT, HS containment, density rule of mixtures, RCP cap) all pass. Optimum eta=0.958, vf=0.600 -> rho=0.6561 g/cm^3, E=3514.9 MPa; best named grade S32 (rho=0.6640 g/cm^3, E=3610.6 MPa).",False,,,,,,,
W2_inverse_design,L4_spec,s0,1,1,346,1,1.5,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,homogenize,HollowParticle",1,1,1,0,0,1,0,"eta=0.9575, vf=0.60, rho=0.658, E=3540; S32 grade",,,,1,0.0,2,"Grid inverse design over eta (0.80-0.97) x vf (0-0.60) with HP-MT (primary), HP-DS (model spread) and HS bounds (feasibility); self-checks E(vf=0)=3000 MPa, eta=0 solid-sphere limit, all 8349 points inside HS bounds. Run 1 succeeded; run 2 only fixed a print sign and added an active-constraint note.",False,0.0,1.0,1.0,,,,
W2_inverse_design,L5_contract,s0,1,1,447,1,1.25,"hollow_particle_mori_tanaka,hollow_particle_differential,hashin_shtrikman_bounds,density,HollowParticle",1,1,1,0,0,1,0,same optimum; CLI contract; exit-code semantics,,,,1,0.0,2,"Grid inverse design over (eta, vf) with foamsim HP-MT, HP-DS cross-check and HS bounds; script ran clean on the first execution (second run only to confirm exit code 0). No pushback needed: the task premise is physically sound (target 3500 MPa is below the HS upper bound, vf_max 0.60 < RCP 0.64).",False,0.0,1.0,1.0,,,,
